"title","description","priority","state","assignee","estimate","sprint","labels"
"Fee breakdown readability pass","Improve confidence and comprehension in pricing summary with clearer label hierarchy. Acceptance: Users identify net amount quickly in usability pass; no terminology mismatch between checkout and admin.","2","Todo","Frontend","0.75","Week 2","fees,checkout,ux,frontend"
"Projection copy and assumption consistency audit","Ensure scenario-based return language and assumption controls are consistent across surfaces. Acceptance: No fixed-return language remains; assumption help text matches across pages.","2","Todo","Frontend + Product","0.5","Week 2","projection,copy,frontend,product"
"CTA hierarchy refactor on fund/dashboard mobile","De-crowd action controls by grouping secondary actions and preserving primary action clarity. Acceptance: Primary action is always obvious; tap misfires reduced in QA walkthrough.","2","Todo","Frontend","1","Week 2","mobile,dashboard,ux,frontend"
"UX copy standardization (errors + confirmations)","Standardize confirmation and error language and remove technical backend phrasing. Acceptance: Copy review passes for touched flows; no raw backend error strings shown to end users.","3","Todo","Product + Frontend","0.75","Week 2","copy,ux,frontend,product"
"Stripe checkout preflight endpoint","Add preflight validation to prevent avoidable checkout session failures. Acceptance: Invalid requests fail preflight instead of checkout creation; frontend shows specific remediation message.","1","Todo","Backend","1","Week 2","stripe,checkout,backend,validation"
"Baseline conversion dashboard and report","Publish weekly conversion scorecard with starts, completes, failure reasons, and device split. Acceptance: Week 2 scorecard published and repeatable; rates tie back to tracked events.","2","Todo","Growth + Data","0.75","Week 2","growth,analytics,reporting,data"
"Gift to Memory linkage contract tests","Guarantee successful gifts always create or attach a memory entry. Acceptance: Contract test passes for gift success path; no new Gifts Missing Memory in 7-day diagnostics.","1","Todo","Backend","1","Week 3","backend,memory,webhooks,qa"
"Memory Book media rendering hardening","Ensure text, image, and video entries render predictably on web and mobile. Acceptance: No media rendering crashes; fallback states shown for invalid media URLs.","2","Todo","Frontend","1","Week 3","frontend,memory,media,mobile"
"Thank-you workflow status model","Implement explicit thank-you lifecycle states and retry handling. Acceptance: Status visible in UI and admin diagnostics; failed sends are retryable.","1","Todo","Backend + Frontend","1.5","Week 3","thank-you,backend,frontend,workflow"
"Gift success page data accuracy pass","Ensure confirmation reflects real amount and execution model. Acceptance: No $0 confirmations for paid gifts; stock-pick gifts show chosen ticker where applicable.","2","Todo","Frontend","0.75","Week 3","gift-success,frontend,accuracy"
"Memory Book cross-linking from gifts","Add direct navigation from gift rows to related memory entries. Acceptance: Gift row includes View memory when linked; link opens correct memory entry.","2","Todo","Frontend","0.75","Week 3","memory,frontend,gifts,navigation"
"Thank-you CTA placement optimization","Improve thank-you completion by better CTA positioning. Acceptance: CTA present in memory and gift detail contexts; thank-you action rate improves from Week 2 baseline.","3","Todo","Product + Frontend","0.5","Week 3","ux,product,frontend,thank-you"
"Admin diagnostics for thank-you gaps","Surface missing thank-you records with drill-down and export. Acceptance: Metric links to affected gifts; drill-down supports CSV export.","2","Todo","Backend + Admin Frontend","0.5","Week 3","admin,diagnostics,thank-you,backend,frontend"
"Week 3 loop scorecard","Publish weekly loop health report for memory and thank-you completion. Acceptance: Weekly report includes trend and deltas; shared in Friday cadence.","2","Todo","Growth + Data","0.5","Week 3","growth,data,reporting,loops"
"Admin KPI card click-through filters","Enable KPI cards to open filtered datasets that explain displayed metrics. Acceptance: Every top KPI card opens filtered records matching displayed metric.","1","Todo","Admin Frontend","1","Week 4","admin,frontend,filters,kpi"
"User detail panel expansion","Add complete user-level admin detail context including funds, gifts, subscription, and transactions. Acceptance: User detail includes funds gifts subscription and recent transactions.","2","Todo","Backend + Admin Frontend","1","Week 4","admin,users,backend,frontend"
"Fund detail panel expansion","Add complete fund-level admin detail context including holdings and gift timeline. Acceptance: Fund detail includes holdings mix gifts timeline and pending vs invested split.","2","Todo","Backend + Admin Frontend","1","Week 4","admin,funds,backend,frontend"
"Gifter profile detail page","Add deep gifter profile with lifetime contribution behavior. Acceptance: Gifter detail shows lifetime gross/net gift frequency and recipient breakdown.","2","Todo","Backend + Admin Frontend","1","Week 4","admin,gifters,backend,frontend"
"CSV parity across tabs","Standardize CSV exports across all major admin tabs. Acceptance: Users Funds Assets Gifters Gifts Transactions all export with consistent columns.","2","Todo","Admin Frontend","0.75","Week 4","admin,csv,exports,frontend"
"Admin action safeguards + audit","Add confirmation and audit logging for sensitive admin actions. Acceptance: Destructive actions require confirmation and generate audit entries.","1","Todo","Backend + Admin Frontend","1.5","Week 4","admin,audit,safety,backend,frontend"
"Config tab safe editing UX","Improve config editing flow with validation and explicit errors. Acceptance: Universe and strategy edits validate before save and show clear errors.","2","Todo","Admin Frontend","1","Week 4","admin,config,frontend,validation"
"Week 4 admin ops scorecard","Publish weekly admin operations quality report. Acceptance: Report includes tab reliability export usage and action audit volume.","2","Todo","Ops + Data","0.5","Week 4","ops,data,reporting,admin"
"Attribution source normalization","Normalize source and channel tracking on top acquisition events. Acceptance: Top acquisition events include stable source/channel fields.","1","Todo","Backend + Growth","1","Week 5","growth,analytics,attribution,backend"
"Founder content cadence tracker","Track founder content output and downstream traffic impact. Acceptance: Weekly dashboard shows founder posts and downstream traffic.","2","Todo","Growth","0.5","Week 5","growth,content,founder,reporting"
"Creator pilot intake workflow","Create structured creator campaign intake and status workflow. Acceptance: Creator roster status and campaign links tracked in one place.","2","Todo","Growth + Ops","1","Week 5","growth,creator,ops,workflow"
"Channel to first-gift conversion report","Report conversion by source channel from visit to first gift. Acceptance: Report shows conversion by channel from visit to first gift.","1","Todo","Data","0.75","Week 5","data,growth,conversion,reporting"
"Share-link UTM propagation","Preserve and propagate UTM params into conversion events. Acceptance: UTM params are preserved and tied to conversion events.","2","Todo","Frontend + Backend","0.75","Week 5","utm,frontend,backend,attribution"
"Gift page referral context module","Display optional campaign source context on gift page. Acceptance: Gift page can display optional campaign/source context cleanly.","3","Todo","Frontend","0.75","Week 5","frontend,gift-page,referral,ux"
"Weekly growth experiment template","Standardize hypothesis and experiment logging process. Acceptance: Team uses one standardized template for hypotheses and outcomes.","2","Todo","Growth","0.5","Week 5","growth,process,experiments"
"Week 5 channel scorecard","Publish weekly channel scorecard with spend and outcome metrics. Acceptance: Scorecard lists top channels with spend conversion and AFRG impact.","2","Todo","Growth + Data","0.5","Week 5","growth,data,scorecard,reporting"
"Host re-engagement reminder engine","Implement reminder triggers for hosts before key gifting windows. Acceptance: Hosts receive targeted reminders before key event windows.","1","Todo","Backend + Frontend","1.5","Week 6","retention,reminders,backend,frontend"
"Repeat gifter prompt flow","Add contextual one-tap flow for prior gifters to gift again. Acceptance: Prior gifters are prompted contextually with one-tap repeat flow.","2","Todo","Frontend + Growth","1","Week 6","retention,gifters,frontend,growth"
"12-week cohort retention table","Populate retention table with week and fund-type filters. Acceptance: Cohort table is populated and filterable by week and fund type.","1","Todo","Data + Admin Frontend","1","Week 6","cohorts,retention,data,admin"
"AFRG cohort trend panel","Add AFRG trend visualization by cohort start week. Acceptance: AFRG trend visible by cohort start week with stable definitions.","2","Todo","Data + Admin Frontend","0.75","Week 6","afrg,cohorts,data,admin"
"Time-to-first-gift diagnostics","Show median and P75 first-gift timing with week-over-week movement. Acceptance: Median and P75 time-to-first-gift shown with weekly movement.","2","Todo","Data","0.75","Week 6","diagnostics,data,first-gift"
"In-app milestone nudges","Introduce milestone prompts to support retention and re-engagement. Acceptance: Milestone prompts appear at sensible thresholds and can be dismissed.","3","Todo","Product + Frontend","0.75","Week 6","retention,milestones,frontend,product"
"Repeat gifter rate KPI card","Add repeat gifter KPI card with detail drill-down. Acceptance: KPI card displays repeat gifter rate with drill-down list.","2","Todo","Admin Frontend","0.5","Week 6","admin,kpi,gifters,retention"
"Week 6 retention scorecard","Publish weekly retention scorecard with core loop deltas. Acceptance: Scorecard includes AFRG, repeat gifter rate, and time-to-first-gift deltas.","2","Todo","Growth + Data","0.5","Week 6","growth,data,retention,reporting"
