"Issue Key","Title","Description","Priority","Status","Assignee","Estimate (days)","Sprint","Labels","Acceptance Criteria"
"KORA-W2-008","Baseline conversion dashboard and report","Publish weekly conversion scorecard with starts completes failure reasons and device split","P1","todo","Growth + Data","0.75","Week 2","growth,analytics,reporting,data","Week 2 scorecard published and repeatable; rates tie back to tracked events"
"KORA-W3-001","Gift to Memory linkage contract tests","Guarantee successful gifts always create or attach a memory entry","P0","todo","Backend","1","Week 3","backend,memory,webhooks,qa","Contract test passes for gift success path; no new Gifts Missing Memory in 7-day diagnostics"
"KORA-W3-002","Memory Book media rendering hardening","Ensure text image and video entries render predictably on web and mobile","P1","todo","Frontend","1","Week 3","frontend,memory,media,mobile","No media rendering crashes; fallback states shown for invalid media URLs"
"KORA-W3-003","Thank-you workflow status model","Implement explicit thank-you lifecycle states and retry handling","P0","todo","Backend + Frontend","1.5","Week 3","thank-you,backend,frontend,workflow","Status visible in UI and admin diagnostics; failed sends are retryable"
"KORA-W3-004","Gift success page data accuracy pass","Ensure confirmation reflects real amount and execution model","P1","todo","Frontend","0.75","Week 3","gift-success,frontend,accuracy","No $0 confirmations for paid gifts; stock-pick gifts show chosen ticker where applicable"
"KORA-W3-005","Memory Book cross-linking from gifts","Add direct navigation from gift rows to related memory entries","P1","todo","Frontend","0.75","Week 3","memory,frontend,gifts,navigation","Gift row includes View memory when linked; link opens correct memory entry"
"KORA-W3-006","Thank-you CTA placement optimization","Improve thank-you completion by better CTA positioning","P2","todo","Product + Frontend","0.5","Week 3","ux,product,frontend,thank-you","CTA present in memory and gift detail contexts; thank-you action rate improves from Week 2 baseline"
"KORA-W3-007","Admin diagnostics for thank-you gaps","Surface missing thank-you records with drill-down and export","P1","todo","Backend + Admin Frontend","0.5","Week 3","admin,diagnostics,thank-you,backend,frontend","Metric links to affected gifts; drill-down supports CSV export"
"KORA-W3-008","Week 3 loop scorecard","Publish weekly loop health report for memory and thank-you completion","P1","todo","Growth + Data","0.5","Week 3","growth,data,reporting,loops","Weekly report includes trend and deltas; shared in Friday cadence"
"KORA-W4-001","Admin KPI card click-through filters","Enable KPI cards to open filtered datasets that explain displayed metrics","P0","todo","Admin Frontend","1","Week 4","admin,frontend,filters,kpi","Every top KPI card opens filtered records matching displayed metric"
"KORA-W4-002","User detail panel expansion","Add complete user-level admin detail context including funds gifts subscription and transactions","P1","todo","Backend + Admin Frontend","1","Week 4","admin,users,backend,frontend","User detail includes funds gifts subscription and recent transactions"
"KORA-W4-003","Fund detail panel expansion","Add complete fund-level admin detail context including holdings and gift timeline","P1","todo","Backend + Admin Frontend","1","Week 4","admin,funds,backend,frontend","Fund detail includes holdings mix gifts timeline and pending vs invested split"
"KORA-W4-004","Gifter profile detail page","Add deep gifter profile with lifetime contribution behavior","P1","todo","Backend + Admin Frontend","1","Week 4","admin,gifters,backend,frontend","Gifter detail shows lifetime gross/net gift frequency and recipient breakdown"
"KORA-W4-005","CSV parity across tabs","Standardize CSV exports across all major admin tabs","P1","todo","Admin Frontend","0.75","Week 4","admin,csv,exports,frontend","Users Funds Assets Gifters Gifts Transactions all export with consistent columns"
"KORA-W4-006","Admin action safeguards + audit","Add confirmation and audit logging for sensitive admin actions","P0","todo","Backend + Admin Frontend","1.5","Week 4","admin,audit,safety,backend,frontend","Destructive actions require confirmation and generate audit entries"
"KORA-W4-007","Config tab safe editing UX","Improve config editing flow with validation and explicit errors","P1","todo","Admin Frontend","1","Week 4","admin,config,frontend,validation","Universe and strategy edits validate before save and show clear errors"
"KORA-W4-008","Week 4 admin ops scorecard","Publish weekly admin operations quality report","P1","todo","Ops + Data","0.5","Week 4","ops,data,reporting,admin","Report includes tab reliability export usage and action audit volume"
"KORA-W5-001","Attribution source normalization","Normalize source and channel tracking on top acquisition events","P0","todo","Backend + Growth","1","Week 5","growth,analytics,attribution,backend","Top acquisition events include stable source/channel fields"
"KORA-W5-002","Founder content cadence tracker","Track founder content output and downstream traffic impact","P1","todo","Growth","0.5","Week 5","growth,content,founder,reporting","Weekly dashboard shows founder posts and downstream traffic"
"KORA-W5-003","Creator pilot intake workflow","Create structured creator campaign intake and status workflow","P1","todo","Growth + Ops","1","Week 5","growth,creator,ops,workflow","Creator roster status and campaign links tracked in one place"
"KORA-W5-004","Channel to first-gift conversion report","Report conversion by source channel from visit to first gift","P0","todo","Data","0.75","Week 5","data,growth,conversion,reporting","Report shows conversion by channel from visit to first gift"
"KORA-W5-005","Share-link UTM propagation","Preserve and propagate UTM params into conversion events","P1","todo","Frontend + Backend","0.75","Week 5","utm,frontend,backend,attribution","UTM params are preserved and tied to conversion events"
"KORA-W5-006","Gift page referral context module","Display optional campaign source context on gift page","P2","todo","Frontend","0.75","Week 5","frontend,gift-page,referral,ux","Gift page can display optional campaign/source context cleanly"
"KORA-W5-007","Weekly growth experiment template","Standardize hypothesis and experiment logging process","P1","todo","Growth","0.5","Week 5","growth,process,experiments","Team uses one standardized template for hypotheses and outcomes"
"KORA-W5-008","Week 5 channel scorecard","Publish weekly channel scorecard with spend and outcome metrics","P1","todo","Growth + Data","0.5","Week 5","growth,data,scorecard,reporting","Scorecard lists top channels with spend conversion and AFRG impact"
"KORA-W6-001","Host re-engagement reminder engine","Implement reminder triggers for hosts before key gifting windows","P0","todo","Backend + Frontend","1.5","Week 6","retention,reminders,backend,frontend","Hosts receive targeted reminders before key event windows"
"KORA-W6-002","Repeat gifter prompt flow","Add contextual one-tap flow for prior gifters to gift again","P1","todo","Frontend + Growth","1","Week 6","retention,gifters,frontend,growth","Prior gifters are prompted contextually with one-tap repeat flow"
"KORA-W6-003","12-week cohort retention table","Populate retention table with week and fund-type filters","P0","todo","Data + Admin Frontend","1","Week 6","cohorts,retention,data,admin","Cohort table is populated and filterable by week and fund type"
"KORA-W6-004","AFRG cohort trend panel","Add AFRG trend visualization by cohort start week","P1","todo","Data + Admin Frontend","0.75","Week 6","afrg,cohorts,data,admin","AFRG trend visible by cohort start week with stable definitions"
"KORA-W6-005","Time-to-first-gift diagnostics","Show median and P75 first-gift timing with week-over-week movement","P1","todo","Data","0.75","Week 6","diagnostics,data,first-gift","Median and P75 time-to-first-gift shown with weekly movement"
"KORA-W6-006","In-app milestone nudges","Introduce milestone prompts to support retention and re-engagement","P2","todo","Product + Frontend","0.75","Week 6","retention,milestones,frontend,product","Milestone prompts appear at sensible thresholds and can be dismissed"
"KORA-W6-007","Repeat gifter rate KPI card","Add repeat gifter KPI card with detail drill-down","P1","todo","Admin Frontend","0.5","Week 6","admin,kpi,gifters,retention","KPI card displays repeat gifter rate with drill-down list"
"KORA-W6-008","Week 6 retention scorecard","Publish weekly retention scorecard with core loop deltas","P1","todo","Growth + Data","0.5","Week 6","growth,data,retention,reporting","Scorecard includes AFRG repeat gifter rate and time-to-first-gift deltas"
"KORA-GROWTH-P0-001","First-session funnel timestamps","Add and standardize fund and checkout funnel events with timestamp metadata for share/gift velocity metrics.","P0","todo","Backend + Data","1.5","Growth Pack","growth,analytics,funnel,backend,data","New cohorts show valid median time_to_first_share and time_to_first_gift; no null fundId for fund-origin funnel events in normal flow"
"KORA-GROWTH-P0-002","Guided Launch completion telemetry","Emit step completion telemetry from Guided Launch and track 48h completion metric.","P0","todo","Frontend","1","Growth Pack","growth,onboarding,telemetry,frontend","Admin can report Guided Launch step drop-off and completion within 48h"
"KORA-GROWTH-P0-003","Checkout friction diagnostics by step","Track checkout step markers and abandonment before session creation.","P0","todo","Frontend + Backend","1","Growth Pack","checkout,analytics,growth,frontend,backend","Admin diagnostics include step-level drop-offs and top abandonment step"
"KORA-GROWTH-P0-004","Lifecycle nudge queue to visible inbox","Surface lifecycle-generated activities with clear CTA actions in Activity feed/detail.","P0","todo","Backend + Frontend","1.5","Growth Pack","lifecycle,activity,nudges,backend,frontend","Lifecycle activities are visible and actionable; no raw snake_case shown to users"
"KORA-GROWTH-P0-005","Pricing/entitlement consistency audit","Unify pricing and entitlement copy across app surfaces and validate overlap/grace states.","P0","todo","Product + Backend","1.5","Growth Pack","pricing,entitlements,copy,product,backend","No conflicting pricing copy; Starter->Family and Family->Starter states render correctly in Settings"
"KORA-GROWTH-P0-006","Fund details completeness in settings","Extend fund snapshot with recency fields strategy and coverage status plus empty-state guidance.","P0","todo","Frontend","1","Growth Pack","funds,settings,ux,frontend","Each fund card shows ownership and status without dashboard navigation"
"KORA-GROWTH-P0-007","Admin lifecycle signal cards and drill links","Add drill actions from lifecycle cards to relevant filtered admin views.","P0","todo","Admin Frontend + Backend","1","Growth Pack","admin,lifecycle,growth,frontend,backend","Each lifecycle card links to a useful filtered context view"
"KORA-GROWTH-P1-001","Thank-you conversion loop scoring","Track thank-you action within seven days and expose trend in admin.","P1","todo","Product + Backend","1","Growth Pack","thank-you,growth,analytics,product,backend","Admin shows thank-you conversion and 7-day trend"
"KORA-GROWTH-P1-002","Share-after-gift prompt optimization","Run post-gift CTA variant test and measure CTR plus downstream checkout starts.","P1","todo","Growth + Frontend","1","Growth Pack","growth,experiments,share,frontend","Variant reporting exists and one winner is selected after threshold sample"
"KORA-GROWTH-P1-003","Event monetization decision clarity","Improve Event Boost vs Starter vs Family decision clarity and usage path.","P1","todo","Product + Frontend","1","Growth Pack","monetization,events,pricing,product,frontend","Multi-fund users understand best purchase path; support confusion decreases"
"KORA-GROWTH-P1-004","Unit economics trend panel","Add 30-day trends for revenue estimated store fees and contribution margin with confidence labels.","P1","todo","Backend + Admin Frontend","1.25","Growth Pack","admin,unit-economics,revenue,backend,frontend","Admin shows trend direction and confidence not only point-in-time values"
"KORA-GROWTH-P1-005","Retention reactivation outcomes","Track and report recovery conversion for no_gift_14d lifecycle signals.","P1","todo","Growth + Data","1","Growth Pack","retention,lifecycle,data,growth","Admin shows reactivation recovery rate and sample count by channel where available"
"KORA-GROWTH-P1-006","Activity reliability hardening","Make activity enrichment resilient and prevent hard failures from relational gaps.","P1","todo","Backend","1","Growth Pack","activity,reliability,backend","Activity page remains functional with partial or missing relational data"
"KORA-GROWTH-P2-001","Outbound lifecycle worker","Build idempotent lifecycle nudge email worker with cooldown and suppression logic.","P2","todo","Backend + Ops","2","Growth Pack","lifecycle,email,ops,backend","Email nudges send once per cooldown window with safe retry/failure logs"
"KORA-GROWTH-P2-002","Fund health score","Compute and expose per-fund A/B/C health score with rationale drill-down.","P2","todo","Data + Admin Frontend","1.5","Growth Pack","fund-health,admin,data,frontend","Admin fund table shows health score with explainable rationale"
"KORA-GROWTH-P2-003","Distribution source attribution model","Normalize source taxonomy and attribute fund creation plus first gift by source.","P2","todo","Growth + Backend","1.5","Growth Pack","attribution,growth,backend,data","Admin reports paid vs non-paid source contribution to first gifts and AFRG"
"KORA-GROWTH-P2-004","Guided Launch adaptive assistant","Adapt Guided Launch CTA copy by incomplete step and lifecycle state with resume behavior.","P2","todo","Product + Frontend","1.5","Growth Pack","guided-launch,onboarding,ux,product,frontend","Guided Launch completion lifts measurably vs baseline"
"KORA-GROWTH-P2-005","Weekly auto scorecard export","Automate weekly KPI scorecard artifact generation without manual SQL pulls.","P2","todo","Data + Ops","1.25","Growth Pack","scorecard,automation,data,ops","Weekly scorecard is generated automatically as CSV or JSON artifact"
