"Summary","Issue Type","Priority","Status","Assignee","Original Estimate","Description","Labels","Sprint"
"CTA hierarchy refactor on fund/dashboard mobile","Task","High","To Do","Frontend","1d","De-crowd action controls by grouping secondary actions and preserving primary action clarity. Acceptance: Primary action is always obvious; tap misfires reduced in QA walkthrough.","mobile dashboard ux frontend","Week 2"
"UX copy standardization (errors + confirmations)","Task","Medium","To Do","Product + Frontend","0.75d","Standardize confirmation and error language and remove technical backend phrasing. Acceptance: Copy review passes for touched flows; no raw backend error strings shown to end users.","copy ux frontend product","Week 2"
"Stripe checkout preflight endpoint","Task","Highest","To Do","Backend","1d","Add preflight validation to prevent avoidable checkout session failures. Acceptance: Invalid requests fail preflight instead of checkout creation; frontend shows specific remediation message.","stripe checkout backend validation","Week 2"
"Baseline conversion dashboard and report","Task","High","To Do","Growth + Data","0.75d","Publish weekly conversion scorecard with starts, completes, failure reasons, and device split. Acceptance: Week 2 scorecard published and repeatable; rates tie back to tracked events.","growth analytics reporting data","Week 2"
"Gift to Memory linkage contract tests","Task","Highest","To Do","Backend","1d","Guarantee successful gifts always create or attach a memory entry. Acceptance: Contract test passes for gift success path; no new Gifts Missing Memory in 7-day diagnostics.","backend memory webhooks qa","Week 3"
"Memory Book media rendering hardening","Task","High","To Do","Frontend","1d","Ensure text, image, and video entries render predictably on web and mobile. Acceptance: No media rendering crashes; fallback states shown for invalid media URLs.","frontend memory media mobile","Week 3"
"Thank-you workflow status model","Task","Highest","To Do","Backend + Frontend","1.5d","Implement explicit thank-you lifecycle states and retry handling. Acceptance: Status visible in UI and admin diagnostics; failed sends are retryable.","thank-you backend frontend workflow","Week 3"
"Gift success page data accuracy pass","Task","High","To Do","Frontend","0.75d","Ensure confirmation reflects real amount and execution model. Acceptance: No $0 confirmations for paid gifts; stock-pick gifts show chosen ticker where applicable.","gift-success frontend accuracy","Week 3"
"Memory Book cross-linking from gifts","Task","High","To Do","Frontend","0.75d","Add direct navigation from gift rows to related memory entries. Acceptance: Gift row includes View memory when linked; link opens correct memory entry.","memory frontend gifts navigation","Week 3"
"Thank-you CTA placement optimization","Task","Medium","To Do","Product + Frontend","0.5d","Improve thank-you completion by better CTA positioning. Acceptance: CTA present in memory and gift detail contexts; thank-you action rate improves from Week 2 baseline.","ux product frontend thank-you","Week 3"
"Admin diagnostics for thank-you gaps","Task","High","To Do","Backend + Admin Frontend","0.5d","Surface missing thank-you records with drill-down and export. Acceptance: Metric links to affected gifts; drill-down supports CSV export.","admin diagnostics thank-you backend frontend","Week 3"
"Week 3 loop scorecard","Task","High","To Do","Growth + Data","0.5d","Publish weekly loop health report for memory and thank-you completion. Acceptance: Weekly report includes trend and deltas; shared in Friday cadence.","growth data reporting loops","Week 3"
"Admin KPI card click-through filters","Task","Highest","To Do","Admin Frontend","1d","Enable KPI cards to open filtered datasets that explain displayed metrics. Acceptance: Every top KPI card opens filtered records matching displayed metric.","admin frontend filters kpi","Week 4"
"User detail panel expansion","Task","High","To Do","Backend + Admin Frontend","1d","Add complete user-level admin detail context including funds, gifts, subscription, and transactions. Acceptance: User detail includes funds gifts subscription and recent transactions.","admin users backend frontend","Week 4"
"Fund detail panel expansion","Task","High","To Do","Backend + Admin Frontend","1d","Add complete fund-level admin detail context including holdings and gift timeline. Acceptance: Fund detail includes holdings mix gifts timeline and pending vs invested split.","admin funds backend frontend","Week 4"
"Gifter profile detail page","Task","High","To Do","Backend + Admin Frontend","1d","Add deep gifter profile with lifetime contribution behavior. Acceptance: Gifter detail shows lifetime gross/net gift frequency and recipient breakdown.","admin gifters backend frontend","Week 4"
"CSV parity across tabs","Task","High","To Do","Admin Frontend","0.75d","Standardize CSV exports across all major admin tabs. Acceptance: Users Funds Assets Gifters Gifts Transactions all export with consistent columns.","admin csv exports frontend","Week 4"
"Admin action safeguards + audit","Task","Highest","To Do","Backend + Admin Frontend","1.5d","Add confirmation and audit logging for sensitive admin actions. Acceptance: Destructive actions require confirmation and generate audit entries.","admin audit safety backend frontend","Week 4"
"Config tab safe editing UX","Task","High","To Do","Admin Frontend","1d","Improve config editing flow with validation and explicit errors. Acceptance: Universe and strategy edits validate before save and show clear errors.","admin config frontend validation","Week 4"
"Week 4 admin ops scorecard","Task","High","To Do","Ops + Data","0.5d","Publish weekly admin operations quality report. Acceptance: Report includes tab reliability export usage and action audit volume.","ops data reporting admin","Week 4"
"Attribution source normalization","Task","Highest","To Do","Backend + Growth","1d","Normalize source and channel tracking on top acquisition events. Acceptance: Top acquisition events include stable source/channel fields.","growth analytics attribution backend","Week 5"
"Founder content cadence tracker","Task","High","To Do","Growth","0.5d","Track founder content output and downstream traffic impact. Acceptance: Weekly dashboard shows founder posts and downstream traffic.","growth content founder reporting","Week 5"
"Creator pilot intake workflow","Task","High","To Do","Growth + Ops","1d","Create structured creator campaign intake and status workflow. Acceptance: Creator roster status and campaign links tracked in one place.","growth creator ops workflow","Week 5"
"Channel to first-gift conversion report","Task","Highest","To Do","Data","0.75d","Report conversion by source channel from visit to first gift. Acceptance: Report shows conversion by channel from visit to first gift.","data growth conversion reporting","Week 5"
"Share-link UTM propagation","Task","High","To Do","Frontend + Backend","0.75d","Preserve and propagate UTM params into conversion events. Acceptance: UTM params are preserved and tied to conversion events.","utm frontend backend attribution","Week 5"
"Gift page referral context module","Task","Medium","To Do","Frontend","0.75d","Display optional campaign source context on gift page. Acceptance: Gift page can display optional campaign/source context cleanly.","frontend gift-page referral ux","Week 5"
"Weekly growth experiment template","Task","High","To Do","Growth","0.5d","Standardize hypothesis and experiment logging process. Acceptance: Team uses one standardized template for hypotheses and outcomes.","growth process experiments","Week 5"
"Week 5 channel scorecard","Task","High","To Do","Growth + Data","0.5d","Publish weekly channel scorecard with spend and outcome metrics. Acceptance: Scorecard lists top channels with spend conversion and AFRG impact.","growth data scorecard reporting","Week 5"
"Host re-engagement reminder engine","Task","Highest","To Do","Backend + Frontend","1.5d","Implement reminder triggers for hosts before key gifting windows. Acceptance: Hosts receive targeted reminders before key event windows.","retention reminders backend frontend","Week 6"
"Repeat gifter prompt flow","Task","High","To Do","Frontend + Growth","1d","Add contextual one-tap flow for prior gifters to gift again. Acceptance: Prior gifters are prompted contextually with one-tap repeat flow.","retention gifters frontend growth","Week 6"
"12-week cohort retention table","Task","Highest","To Do","Data + Admin Frontend","1d","Populate retention table with week and fund-type filters. Acceptance: Cohort table is populated and filterable by week and fund type.","cohorts retention data admin","Week 6"
"AFRG cohort trend panel","Task","High","To Do","Data + Admin Frontend","0.75d","Add AFRG trend visualization by cohort start week. Acceptance: AFRG trend visible by cohort start week with stable definitions.","afrg cohorts data admin","Week 6"
"Time-to-first-gift diagnostics","Task","High","To Do","Data","0.75d","Show median and P75 first-gift timing with week-over-week movement. Acceptance: Median and P75 time-to-first-gift shown with weekly movement.","diagnostics data first-gift","Week 6"
"In-app milestone nudges","Task","Medium","To Do","Product + Frontend","0.75d","Introduce milestone prompts to support retention and re-engagement. Acceptance: Milestone prompts appear at sensible thresholds and can be dismissed.","retention milestones frontend product","Week 6"
"Repeat gifter rate KPI card","Task","High","To Do","Admin Frontend","0.5d","Add repeat gifter KPI card with detail drill-down. Acceptance: KPI card displays repeat gifter rate with drill-down list.","admin kpi gifters retention","Week 6"
"Week 6 retention scorecard","Task","High","To Do","Growth + Data","0.5d","Publish weekly retention scorecard with core loop deltas. Acceptance: Scorecard includes AFRG, repeat gifter rate, and time-to-first-gift deltas.","growth data retention reporting","Week 6"
"First-session funnel timestamps","Task","Highest","To Do","Backend + Data","1.5d","Add and standardize fund and checkout funnel events with timestamp metadata for share/gift velocity metrics. Acceptance: New cohorts show valid median time_to_first_share and time_to_first_gift; no null fundId for fund-origin funnel events in normal flow.","growth analytics funnel backend data","Growth Pack"
"Guided Launch completion telemetry","Task","Highest","To Do","Frontend","1d","Emit step completion telemetry from Guided Launch and track 48h completion metric. Acceptance: Admin can report Guided Launch step drop-off and completion within 48h.","growth onboarding telemetry frontend","Growth Pack"
"Checkout friction diagnostics by step","Task","Highest","To Do","Frontend + Backend","1d","Track checkout step markers and abandonment before session creation. Acceptance: Admin diagnostics include step-level drop-offs and top abandonment step.","checkout analytics growth frontend backend","Growth Pack"
"Lifecycle nudge queue to visible inbox","Task","Highest","To Do","Backend + Frontend","1.5d","Surface lifecycle-generated activities with clear CTA actions in Activity feed/detail. Acceptance: Lifecycle activities are visible and actionable; no raw snake_case shown to users.","lifecycle activity nudges backend frontend","Growth Pack"
"Pricing/entitlement consistency audit","Task","Highest","To Do","Product + Backend","1.5d","Unify pricing and entitlement copy across app surfaces and validate overlap/grace states. Acceptance: No conflicting pricing copy; Starter->Family and Family->Starter states render correctly in Settings.","pricing entitlements copy product backend","Growth Pack"
"Fund details completeness in settings","Task","Highest","To Do","Frontend","1d","Extend fund snapshot with recency fields strategy and coverage status plus empty-state guidance. Acceptance: Each fund card shows ownership and status without dashboard navigation.","funds settings ux frontend","Growth Pack"
"Admin lifecycle signal cards and drill links","Task","Highest","To Do","Admin Frontend + Backend","1d","Add drill actions from lifecycle cards to relevant filtered admin views. Acceptance: Each lifecycle card links to a useful filtered context view.","admin lifecycle growth frontend backend","Growth Pack"
"Thank-you conversion loop scoring","Task","High","To Do","Product + Backend","1d","Track thank-you action within seven days and expose trend in admin. Acceptance: Admin shows thank-you conversion and 7-day trend.","thank-you growth analytics product backend","Growth Pack"
"Share-after-gift prompt optimization","Task","High","To Do","Growth + Frontend","1d","Run post-gift CTA variant test and measure CTR plus downstream checkout starts. Acceptance: Variant reporting exists and one winner is selected after threshold sample.","growth experiments share frontend","Growth Pack"
"Event monetization decision clarity","Task","High","To Do","Product + Frontend","1d","Improve Event Boost vs Starter vs Family decision clarity and usage path. Acceptance: Multi-fund users understand best purchase path; support confusion decreases.","monetization events pricing product frontend","Growth Pack"
"Unit economics trend panel","Task","High","To Do","Backend + Admin Frontend","1.25d","Add 30-day trends for revenue estimated store fees and contribution margin with confidence labels. Acceptance: Admin shows trend direction and confidence not only point-in-time values.","admin unit-economics revenue backend frontend","Growth Pack"
"Retention reactivation outcomes","Task","High","To Do","Growth + Data","1d","Track and report recovery conversion for no_gift_14d lifecycle signals. Acceptance: Admin shows reactivation recovery rate and sample count by channel where available.","retention lifecycle data growth","Growth Pack"
"Activity reliability hardening","Task","High","To Do","Backend","1d","Make activity enrichment resilient and prevent hard failures from relational gaps. Acceptance: Activity page remains functional with partial or missing relational data.","activity reliability backend","Growth Pack"
"Outbound lifecycle worker","Task","Medium","To Do","Backend + Ops","2d","Build idempotent lifecycle nudge email worker with cooldown and suppression logic. Acceptance: Email nudges send once per cooldown window with safe retry/failure logs.","lifecycle email ops backend","Growth Pack"
"Fund health score","Task","Medium","To Do","Data + Admin Frontend","1.5d","Compute and expose per-fund A/B/C health score with rationale drill-down. Acceptance: Admin fund table shows health score with explainable rationale.","fund-health admin data frontend","Growth Pack"
"Distribution source attribution model","Task","Medium","To Do","Growth + Backend","1.5d","Normalize source taxonomy and attribute fund creation plus first gift by source. Acceptance: Admin reports paid vs non-paid source contribution to first gifts and AFRG.","attribution growth backend data","Growth Pack"
"Guided Launch adaptive assistant","Task","Medium","To Do","Product + Frontend","1.5d","Adapt Guided Launch CTA copy by incomplete step and lifecycle state with resume behavior. Acceptance: Guided Launch completion lifts measurably vs baseline.","guided-launch onboarding ux product frontend","Growth Pack"
"Weekly auto scorecard export","Task","Medium","To Do","Data + Ops","1.25d","Automate weekly KPI scorecard artifact generation without manual SQL pulls. Acceptance: Weekly scorecard is generated automatically as CSV or JSON artifact.","scorecard automation data ops","Growth Pack"
Trust telemetry coverage expansion,Task,Highest,To Do,Frontend + Backend,1d,"Emit trust_tooltip_open and trust_tooltip_click events across trust-specific Dashboard, Home, and Checkout surfaces, and keep server ingestion/query path consistent. Acceptance: Admin trust CTR reflects both education tips and trust-specific surfaces.","ux trust analytics frontend backend",UX 2026 Addendum
Accessibility sweep for decision surfaces,Task,Highest,To Do,Frontend,1d,"Run an accessibility pass for Gift Checkout, Settings, and Admin decision surfaces, including keyboard flow and non-color status signaling. Acceptance: Core flows pass manual a11y checklist with no blocking issues.","ux a11y checkout settings admin frontend",UX 2026 Addendum
Personalized next-best-action blocks,Task,High,To Do,Product + Frontend,1.25d,"Add contextual dashboard next-step CTAs driven by lifecycle signal and plan state, and track shown/clicked outcomes. Acceptance: Dashboard presents context-sensitive actions with measurable click-through.","ux personalization lifecycle dashboard product frontend",UX 2026 Addendum
Cross-breakpoint parity QA package,Task,High,To Do,QA + Frontend,1d,"Create and enforce parity QA checklist across mobile/tablet/desktop for critical flows, including fee summary and trust disclaimer visibility. Acceptance: Signed parity checklist exists for each release.","ux qa responsive checkout settings dashboard",UX 2026 Addendum
Checkout action-state motion pass,Task,Highest,To Do,Frontend,1d,"Improve Gift Checkout tap, submit, loading, success, and error state transitions with explicit async state text. Acceptance: Checkout gives immediate tap acknowledgment and clear processing state across payment paths.","motion checkout ux frontend",Motion 2026 Addendum
Settings membership transition clarity,Task,Highest,To Do,Frontend,1d,"Improve visual feedback for plan upgrade, cancel, and reactivate actions and remove ambiguous intermediate states. Acceptance: Users always see clear in-progress and final state for plan management actions.","motion settings membership ux frontend",Motion 2026 Addendum
Reduced-motion compliance in core flows,Task,High,To Do,Frontend,1.25d,"Audit and adapt Dashboard, Checkout, and Settings transitions for prefers-reduced-motion while preserving clarity. Acceptance: Core flows remain usable and clear with reduced motion enabled.","motion a11y reduced-motion dashboard checkout settings frontend",Motion 2026 Addendum
Motion telemetry baseline,Task,High,To Do,Frontend + Backend,1.25d,"Standardize motion lifecycle event names and metadata for conversion and friction analysis. Acceptance: Motion-related events are queryable with surface and component metadata.","motion telemetry analytics frontend backend",Motion 2026 Addendum
