"Summary","Issue Type","Priority","Status","Assignee","Original Estimate","Description","Labels","Sprint"
"CTA hierarchy refactor on fund/dashboard mobile","Task","High","To Do","Frontend","1d","De-crowd action controls by grouping secondary actions and preserving primary action clarity. Acceptance: Primary action is always obvious; tap misfires reduced in QA walkthrough.","mobile dashboard ux frontend","Week 2"
"UX copy standardization (errors + confirmations)","Task","Medium","To Do","Product + Frontend","0.75d","Standardize confirmation and error language and remove technical backend phrasing. Acceptance: Copy review passes for touched flows; no raw backend error strings shown to end users.","copy ux frontend product","Week 2"
"Stripe checkout preflight endpoint","Task","Highest","To Do","Backend","1d","Add preflight validation to prevent avoidable checkout session failures. Acceptance: Invalid requests fail preflight instead of checkout creation; frontend shows specific remediation message.","stripe checkout backend validation","Week 2"
"Baseline conversion dashboard and report","Task","High","To Do","Growth + Data","0.75d","Publish weekly conversion scorecard with starts, completes, failure reasons, and device split. Acceptance: Week 2 scorecard published and repeatable; rates tie back to tracked events.","growth analytics reporting data","Week 2"
"Gift to Memory linkage contract tests","Task","Highest","To Do","Backend","1d","Guarantee successful gifts always create or attach a memory entry. Acceptance: Contract test passes for gift success path; no new Gifts Missing Memory in 7-day diagnostics.","backend memory webhooks qa","Week 3"
"Memory Book media rendering hardening","Task","High","To Do","Frontend","1d","Ensure text, image, and video entries render predictably on web and mobile. Acceptance: No media rendering crashes; fallback states shown for invalid media URLs.","frontend memory media mobile","Week 3"
"Thank-you workflow status model","Task","Highest","To Do","Backend + Frontend","1.5d","Implement explicit thank-you lifecycle states and retry handling. Acceptance: Status visible in UI and admin diagnostics; failed sends are retryable.","thank-you backend frontend workflow","Week 3"
"Gift success page data accuracy pass","Task","High","To Do","Frontend","0.75d","Ensure confirmation reflects real amount and execution model. Acceptance: No $0 confirmations for paid gifts; stock-pick gifts show chosen ticker where applicable.","gift-success frontend accuracy","Week 3"
"Memory Book cross-linking from gifts","Task","High","To Do","Frontend","0.75d","Add direct navigation from gift rows to related memory entries. Acceptance: Gift row includes View memory when linked; link opens correct memory entry.","memory frontend gifts navigation","Week 3"
"Thank-you CTA placement optimization","Task","Medium","To Do","Product + Frontend","0.5d","Improve thank-you completion by better CTA positioning. Acceptance: CTA present in memory and gift detail contexts; thank-you action rate improves from Week 2 baseline.","ux product frontend thank-you","Week 3"
"Admin diagnostics for thank-you gaps","Task","High","To Do","Backend + Admin Frontend","0.5d","Surface missing thank-you records with drill-down and export. Acceptance: Metric links to affected gifts; drill-down supports CSV export.","admin diagnostics thank-you backend frontend","Week 3"
"Week 3 loop scorecard","Task","High","To Do","Growth + Data","0.5d","Publish weekly loop health report for memory and thank-you completion. Acceptance: Weekly report includes trend and deltas; shared in Friday cadence.","growth data reporting loops","Week 3"
"Admin KPI card click-through filters","Task","Highest","To Do","Admin Frontend","1d","Enable KPI cards to open filtered datasets that explain displayed metrics. Acceptance: Every top KPI card opens filtered records matching displayed metric.","admin frontend filters kpi","Week 4"
"User detail panel expansion","Task","High","To Do","Backend + Admin Frontend","1d","Add complete user-level admin detail context including funds, gifts, subscription, and transactions. Acceptance: User detail includes funds gifts subscription and recent transactions.","admin users backend frontend","Week 4"
"Fund detail panel expansion","Task","High","To Do","Backend + Admin Frontend","1d","Add complete fund-level admin detail context including holdings and gift timeline. Acceptance: Fund detail includes holdings mix gifts timeline and pending vs invested split.","admin funds backend frontend","Week 4"
"Gifter profile detail page","Task","High","To Do","Backend + Admin Frontend","1d","Add deep gifter profile with lifetime contribution behavior. Acceptance: Gifter detail shows lifetime gross/net gift frequency and recipient breakdown.","admin gifters backend frontend","Week 4"
"CSV parity across tabs","Task","High","To Do","Admin Frontend","0.75d","Standardize CSV exports across all major admin tabs. Acceptance: Users Funds Assets Gifters Gifts Transactions all export with consistent columns.","admin csv exports frontend","Week 4"
"Admin action safeguards + audit","Task","Highest","To Do","Backend + Admin Frontend","1.5d","Add confirmation and audit logging for sensitive admin actions. Acceptance: Destructive actions require confirmation and generate audit entries.","admin audit safety backend frontend","Week 4"
"Config tab safe editing UX","Task","High","To Do","Admin Frontend","1d","Improve config editing flow with validation and explicit errors. Acceptance: Universe and strategy edits validate before save and show clear errors.","admin config frontend validation","Week 4"
"Week 4 admin ops scorecard","Task","High","To Do","Ops + Data","0.5d","Publish weekly admin operations quality report. Acceptance: Report includes tab reliability export usage and action audit volume.","ops data reporting admin","Week 4"
"Attribution source normalization","Task","Highest","To Do","Backend + Growth","1d","Normalize source and channel tracking on top acquisition events. Acceptance: Top acquisition events include stable source/channel fields.","growth analytics attribution backend","Week 5"
"Founder content cadence tracker","Task","High","To Do","Growth","0.5d","Track founder content output and downstream traffic impact. Acceptance: Weekly dashboard shows founder posts and downstream traffic.","growth content founder reporting","Week 5"
"Creator pilot intake workflow","Task","High","To Do","Growth + Ops","1d","Create structured creator campaign intake and status workflow. Acceptance: Creator roster status and campaign links tracked in one place.","growth creator ops workflow","Week 5"
"Channel to first-gift conversion report","Task","Highest","To Do","Data","0.75d","Report conversion by source channel from visit to first gift. Acceptance: Report shows conversion by channel from visit to first gift.","data growth conversion reporting","Week 5"
"Share-link UTM propagation","Task","High","To Do","Frontend + Backend","0.75d","Preserve and propagate UTM params into conversion events. Acceptance: UTM params are preserved and tied to conversion events.","utm frontend backend attribution","Week 5"
"Gift page referral context module","Task","Medium","To Do","Frontend","0.75d","Display optional campaign source context on gift page. Acceptance: Gift page can display optional campaign/source context cleanly.","frontend gift-page referral ux","Week 5"
"Weekly growth experiment template","Task","High","To Do","Growth","0.5d","Standardize hypothesis and experiment logging process. Acceptance: Team uses one standardized template for hypotheses and outcomes.","growth process experiments","Week 5"
"Week 5 channel scorecard","Task","High","To Do","Growth + Data","0.5d","Publish weekly channel scorecard with spend and outcome metrics. Acceptance: Scorecard lists top channels with spend conversion and AFRG impact.","growth data scorecard reporting","Week 5"
"Host re-engagement reminder engine","Task","Highest","To Do","Backend + Frontend","1.5d","Implement reminder triggers for hosts before key gifting windows. Acceptance: Hosts receive targeted reminders before key event windows.","retention reminders backend frontend","Week 6"
"Repeat gifter prompt flow","Task","High","To Do","Frontend + Growth","1d","Add contextual one-tap flow for prior gifters to gift again. Acceptance: Prior gifters are prompted contextually with one-tap repeat flow.","retention gifters frontend growth","Week 6"
"12-week cohort retention table","Task","Highest","To Do","Data + Admin Frontend","1d","Populate retention table with week and fund-type filters. Acceptance: Cohort table is populated and filterable by week and fund type.","cohorts retention data admin","Week 6"
"AFRG cohort trend panel","Task","High","To Do","Data + Admin Frontend","0.75d","Add AFRG trend visualization by cohort start week. Acceptance: AFRG trend visible by cohort start week with stable definitions.","afrg cohorts data admin","Week 6"
"Time-to-first-gift diagnostics","Task","High","To Do","Data","0.75d","Show median and P75 first-gift timing with week-over-week movement. Acceptance: Median and P75 time-to-first-gift shown with weekly movement.","diagnostics data first-gift","Week 6"
"In-app milestone nudges","Task","Medium","To Do","Product + Frontend","0.75d","Introduce milestone prompts to support retention and re-engagement. Acceptance: Milestone prompts appear at sensible thresholds and can be dismissed.","retention milestones frontend product","Week 6"
"Repeat gifter rate KPI card","Task","High","To Do","Admin Frontend","0.5d","Add repeat gifter KPI card with detail drill-down. Acceptance: KPI card displays repeat gifter rate with drill-down list.","admin kpi gifters retention","Week 6"
"Week 6 retention scorecard","Task","High","To Do","Growth + Data","0.5d","Publish weekly retention scorecard with core loop deltas. Acceptance: Scorecard includes AFRG, repeat gifter rate, and time-to-first-gift deltas.","growth data retention reporting","Week 6"
